x=-1.47037, y=-2.37444, z=-0.342917
x=-1.45955, y=-2.37547, z=-0.342327
x=-1.44876, y=-2.37647, z=-0.34174
x=-1.43554, y=-2.3734, z=-0.340575
x=3.17233, y=-2.36636, z=-0.346252
x=3.17467, y=-2.3509, z=-0.34561
x=-1.51163, y=-2.33052, z=-0.341074
x=3.17697, y=-2.33546, z=-0.344971
x=-1.57962, y=-2.32705, z=-0.345335
x=-1.56868, y=-2.32839, z=-0.344719
x=-1.55776, y=-2.3297, z=-0.344105
x=-1.54412, y=-2.32684, z=-0.342885
x=-1.53327, y=-2.3281, z=-0.342279
x=-1.52244, y=-2.32932, z=-0.341676
x=3.17336, y=-2.31578, z=-0.343698
x=3.17557, y=-2.30043, z=-0.343065
x=3.17773, y=-2.28512, z=-0.342434
x=-1.58776, y=-2.27012, z=-0.340146
x=-1.65899, y=-2.26919, z=-0.345141
x=-1.64501, y=-2.26665, z=-0.343879
x=-1.6341, y=-2.26824, z=-0.343251
x=-1.6232, y=-2.26979, z=-0.342626
x=-1.6094, y=-2.26718, z=-0.341381
x=-1.59857, y=-2.26867, z=-0.340763
x=3.17402, y=-2.26567, z=-0.341179
x=3.17609, y=-2.25045, z=-0.340555
x=-1.7384, y=-2.21139, z=-0.345377
x=-1.71328, y=-2.21106, z=-0.343448
x=-1.68835, y=-2.2106, z=-0.341537
x=-1.67751, y=-2.21238, z=-0.340904
x=3.29688, y=-2.217, z=-0.347589
x=-1.72421, y=-2.20918, z=-0.344089
x=-1.69921, y=-2.20879, z=-0.342172
x=3.29277, y=-2.19758, z=-0.346345
x=3.29453, y=-2.18216, z=-0.345727
x=3.29625, y=-2.16678, z=-0.345111
x=-1.79582, y=-2.15754, z=-0.344672
x=-1.78152, y=-2.15563, z=-0.34337
x=-1.77064, y=-2.15776, z=-0.342722
x=-1.75645, y=-2.15578, z=-0.341432
x=-1.74562, y=-2.15784, z=-0.340789
x=-0.316546, y=-2.15542, z=-0.345046
x=-0.305005, y=-2.15531, z=-0.344769
x=-0.293482, y=-2.15521, z=-0.344502
x=-0.285811, y=-2.15515, z=-0.34433
x=-0.27445, y=-2.15609, z=-0.344247
x=-0.262963, y=-2.15597, z=-0.344003
x=-0.255316, y=-2.1559, z=-0.343846
x=-0.243859, y=-2.15579, z=-0.343621
x=-0.232416, y=-2.15569, z=-0.343407
x=-0.224796, y=-2.15564, z=-0.34327
x=-0.217183, y=-2.15558, z=-0.343139
x=-0.205775, y=-2.15551, z=-0.342951
x=-0.194445, y=-2.15618, z=-0.342891
x=-0.186849, y=-2.15611, z=-0.342774
x=-0.175467, y=-2.15602, z=-0.34261
x=-0.164095, y=-2.15594, z=-0.342455
x=-0.15652, y=-2.1559, z=-0.342359
x=-0.145167, y=-2.15584, z=-0.342224
x=-0.133822, y=-2.15579, z=-0.3421
x=-0.126264, y=-2.15576, z=-0.342024
x=-0.114957, y=-2.15617, z=-0.341988
x=-0.103628, y=-2.1561, z=-0.341887
x=-0.09608, y=-2.15607, z=-0.341826
x=-0.0847634, y=-2.15602, z=-0.341745
x=-0.0734516, y=-2.15599, z=-0.341674
x=-0.0659133, y=-2.15598, z=-0.341633
x=-0.0546118, y=-2.15607, z=-0.341597
x=-0.0433119, y=-2.15614, z=-0.341567
x=-0.0357784, y=-2.15611, z=-0.341541
x=-0.0244804, y=-2.15609, z=-0.341513
x=-0.0131838, y=-2.15608, z=-0.341496
x=-0.00565337, y=-2.15608, z=-0.341491
x=0.00564219, y=-2.1561, z=-0.341493
x=0.0169382, y=-2.15612, z=-0.341506
x=0.0244686, y=-2.15605, z=-0.341506
x=0.0357662, y=-2.15605, z=-0.341531
x=0.0470658, y=-2.15606, z=-0.341567
x=0.0546006, y=-2.15607, z=-0.341597
x=0.0659062, y=-2.15611, z=-0.341653
x=0.0772156, y=-2.15615, z=-0.341719
x=0.0847583, y=-2.15619, z=-0.34177
x=0.0960611, y=-2.15589, z=-0.341798
x=0.107382, y=-2.15592, z=-0.341887
x=0.114933, y=-2.15595, z=-0.341953
x=0.122488, y=-2.15598, z=-0.342024
x=0.133827, y=-2.15604, z=-0.342141
x=0.145174, y=-2.15611, z=-0.342268
x=0.152744, y=-2.15617, z=-0.342359
x=0.164084, y=-2.15594, z=-0.342455
x=0.175428, y=-2.15569, z=-0.342557
x=0.183013, y=-2.15574, z=-0.342663
x=0.194401, y=-2.15581, z=-0.342833
x=0.2058, y=-2.1559, z=-0.343012
